# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 8119 2 299 2053 4013173 1 .emacs.d.spBAK/elpa/tablist-20190414.643/tablist-pkg.el
DUPTYPE_OUTSIDE_TREE -8119 2 299 2053 4003676 2 .emacs.d.Prelude/elpa/tablist-20190414.643/tablist-pkg.el
DUPTYPE_FIRST_OCCURRENCE 8034 2 300 2053 4013089 1 .emacs.d.spBAK/elpa/s-20180406.808/s-pkg.el
DUPTYPE_OUTSIDE_TREE -8034 2 300 2053 4003616 2 .emacs.d.Prelude/elpa/s-20180406.808/s-pkg.el
DUPTYPE_FIRST_OCCURRENCE 7989 2 308 2053 4013045 1 .emacs.d.spBAK/elpa/popup-20160709.1429/popup-pkg.el
DUPTYPE_OUTSIDE_TREE -7989 2 308 2053 4003608 2 .emacs.d.Prelude/elpa/popup-20160709.1429/popup-pkg.el
DUPTYPE_FIRST_OCCURRENCE 8529 4 311 2053 4013587 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-short-docs/input-selectionDirection
DUPTYPE_WITHIN_SAME_TREE -8529 4 311 2053 4013647 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-short-docs/textarea-selectionDirection
DUPTYPE_FIRST_OCCURRENCE 912 2 320 2053 4003792 1 .emacs.d.spBAK/.cache/auto-save/26932-vidar~
DUPTYPE_WITHIN_SAME_TREE -912 2 320 2053 4003796 1 .emacs.d.spBAK/.cache/auto-save/28388-vidar~
DUPTYPE_WITHIN_SAME_TREE -912 2 320 2053 4003797 1 .emacs.d.spBAK/.cache/auto-save/28836-vidar~
